[INFO ] [00:01:31] org.springframework.context.support.ClassPathXmlApplicationContext - Refreshing org.springframework.context.support.ClassPathXmlApplicationContext@1fc32e4f: startup date [Mon Mar 02 00:01:31 CST 2026]; root of context hierarchy
[INFO ] [00:01:31] org.springframework.beans.factory.xml.XmlBeanDefinitionReader - Loading XML bean definitions from file [/www/server/jetty-dts3-6003/webapps/ZY-APP-DTS3/WEB-INF/classes/application-db.xml]
[INFO ] [00:01:31] org.springframework.beans.factory.xml.XmlBeanDefinitionReader - Loading XML bean definitions from file [/www/server/jetty-dts3-6003/webapps/ZY-APP-DTS3/WEB-INF/classes/application-mybatis.xml]
[INFO ] [00:01:31] org.springframework.beans.factory.xml.XmlBeanDefinitionReader - Loading XML bean definitions from file [/www/server/jetty-dts3-6003/webapps/ZY-APP-DTS3/WEB-INF/classes/application.xml]
[INFO ] [00:01:31] org.springframework.beans.factory.xml.XmlBeanDefinitionReader - Loading XML bean definitions from class path resource [spring-redis.xml]
[DEBUG] [00:01:32] druid.sql.Connection - {conn-10001} connected
[DEBUG] [00:01:32] druid.sql.Connection - {conn-10002} connected
[DEBUG] [00:01:32] druid.sql.Connection - {conn-10003} connected
[DEBUG] [00:01:32] druid.sql.Connection - {conn-10004} connected
[DEBUG] [00:01:32] druid.sql.Connection - {conn-10005} connected
[DEBUG] [00:01:32] druid.sql.Connection - {conn-10006} connected
[DEBUG] [00:01:32] druid.sql.Connection - {conn-10007} connected
[DEBUG] [00:01:32] druid.sql.Connection - {conn-10008} connected
[DEBUG] [00:01:32] druid.sql.Connection - {conn-10009} connected
[DEBUG] [00:01:32] druid.sql.Connection - {conn-10010} connected
[DEBUG] [00:01:32] druid.sql.Connection - {conn-10011} connected
[DEBUG] [00:01:32] druid.sql.Connection - {conn-10012} connected
[DEBUG] [00:01:32] druid.sql.Connection - {conn-10013} connected
[DEBUG] [00:01:32] druid.sql.Connection - {conn-10014} connected
[DEBUG] [00:01:32] druid.sql.Connection - {conn-10015} connected
[DEBUG] [00:01:32] druid.sql.Connection - {conn-10016} connected
[DEBUG] [00:01:32] druid.sql.Connection - {conn-10017} connected
[DEBUG] [00:01:32] druid.sql.Connection - {conn-10018} connected
[DEBUG] [00:01:32] druid.sql.Connection - {conn-10019} connected
[DEBUG] [00:01:32] druid.sql.Connection - {conn-10020} connected
[INFO ] [00:01:32] com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
[DEBUG] [00:01:32] org.apache.ibatis.logging.LogFactory - Logging initialized using 'class org.apache.ibatis.logging.slf4j.Slf4jImpl' adapter.
[DEBUG] [00:01:32] org.apache.ibatis.io.VFS - Class not found: org.jboss.vfs.VFS
[DEBUG] [00:01:32] org.apache.ibatis.io.JBoss6VFS - JBoss 6 VFS API is not available in this environment.
[DEBUG] [00:01:32] org.apache.ibatis.io.VFS - Class not found: org.jboss.vfs.VirtualFile
[DEBUG] [00:01:32] org.apache.ibatis.io.VFS - VFS implementation org.apache.ibatis.io.JBoss6VFS is not valid in this environment.
[DEBUG] [00:01:32] org.apache.ibatis.io.VFS - Using VFS adapter org.apache.ibatis.io.DefaultVFS
[DEBUG] [00:01:32] org.apache.ibatis.io.DefaultVFS - Find JAR URL: file:/www/server/jetty-dts3-6003/webapps/ZY-APP-DTS3/WEB-INF/classes/com/zywl/app/base/bean
[DEBUG] [00:01:32] org.apache.ibatis.io.DefaultVFS - Not a JAR: file:/www/server/jetty-dts3-6003/webapps/ZY-APP-DTS3/WEB-INF/classes/com/zywl/app/base/bean
[DEBUG] [00:01:32] org.apache.ibatis.io.DefaultVFS - Reader entry: Achievement.class
[DEBUG] [00:01:32] org.apache.ibatis.io.DefaultVFS - Reader entry: ActiveGiftRecord.class
[DEBUG] [00:01:32] org.apache.ibatis.io.DefaultVFS - Reader entry: Activity.class
[DEBUG] [00:01:32] org.apache.ibatis.io.DefaultVFS - Reader entry: Activity2.class
[DEBUG] [00:01:32] org.apache.ibatis.io.DefaultVFS - Reader entry: Admin.class
[DEBUG] [00:01:32] org.apache.ibatis.io.DefaultVFS - Reader entry: AdminLog.class
[DEBUG] [00:01:32] org.apache.ibatis.io.DefaultVFS - Reader entry: AdminMenu.class
[DEBUG] [00:01:32] org.apache.ibatis.io.DefaultVFS - Reader entry: Agent.class
[DEBUG] [00:01:32] org.apache.ibatis.io.DefaultVFS - Reader entry: ApplyFor.class
[DEBUG] [00:01:32] org.apache.ibatis.io.DefaultVFS - Reader entry: Backpack.class
[DEBUG] [00:01:32] org.apache.ibatis.io.DefaultVFS - Reader entry: BackpackStatement.class
[DEBUG] [00:01:32] org.apache.ibatis.io.DefaultVFS - Reader entry: BalanceConvertRecord.class
[DEBUG] [00:01:32] org.apache.ibatis.io.DefaultVFS - Reader entry: BalanceShop.class
[DEBUG] [00:01:32] org.apache.ibatis.io.DefaultVFS - Reader entry: BatchCashRecord.class
[DEBUG] [00:01:32] org.apache.ibatis.io.DefaultVFS - Reader entry: BattleRoyaleRecord.class
[DEBUG] [00:01:32] org.apache.ibatis.io.DefaultVFS - Reader entry: BountyFeePool.class
[DEBUG] [00:01:32] org.apache.ibatis.io.DefaultVFS - Reader entry: BountyTask.class
[DEBUG] [00:01:32] org.apache.ibatis.io.DefaultVFS - Reader entry: BountyTaskOrder.class
[DEBUG] [00:01:32] org.apache.ibatis.io.DefaultVFS - Reader entry: card
[DEBUG] [00:01:32] org.apache.ibatis.io.DefaultVFS - Reader entry: CashChannelIncomeRecord.class
[DEBUG] [00:01:32] org.apache.ibatis.io.DefaultVFS - Reader entry: CashRecord.class
[DEBUG] [00:01:32] org.apache.ibatis.io.DefaultVFS - Reader entry: CashTotalInfo.class
[DEBUG] [00:01:32] org.apache.ibatis.io.DefaultVFS - Reader entry: ChannelIncome.class
[DEBUG] [00:01:32] org.apache.ibatis.io.DefaultVFS - Reader entry: Chat.class
[DEBUG] [00:01:32] org.apache.ibatis.io.DefaultVFS - Reader entry: City.class
[DEBUG] [00:01:32] org.apache.ibatis.io.DefaultVFS - Reader entry: CompleteAchievementRecord.class
[DEBUG] [00:01:32] org.apache.ibatis.io.DefaultVFS - Reader entry: Config.class
[DEBUG] [00:01:32] org.apache.ibatis.io.DefaultVFS - Reader entry: ConvertIncomeRecord.class
[DEBUG] [00:01:32] org.apache.ibatis.io.DefaultVFS - Reader entry: DailyTask.class
[DEBUG] [00:01:32] org.apache.ibatis.io.DefaultVFS - Reader entry: Device.class
[DEBUG] [00:01:32] org.apache.ibatis.io.DefaultVFS - Reader entry: DeviceCount.class
[DEBUG] [00:01:32] org.apache.ibatis.io.DefaultVFS - Reader entry: DeviceRisk.class
[DEBUG] [00:01:32] org.apache.ibatis.io.DefaultVFS - Reader entry: DgsBetRecord.class
[DEBUG] [00:01:32] org.apache.ibatis.io.DefaultVFS - Reader entry: DicHandBook.class
[DEBUG] [00:01:32] org.apache.ibatis.io.DefaultVFS - Reader entry: DicHandBookReward.class
[DEBUG] [00:01:32] org.apache.ibatis.io.DefaultVFS - Reader entry: DicJackpot.class
[DEBUG] [00:01:32] org.apache.ibatis.io.DefaultVFS - Reader entry: DicMzItem.class
[DEBUG] [00:01:32] org.apache.ibatis.io.DefaultVFS - Reader entry: DicPet.class
[DEBUG] [00:01:32] org.apache.ibatis.io.DefaultVFS - Reader entry: DicPit.class
[DEBUG] [00:01:32] org.apache.ibatis.io.DefaultVFS - Reader entry: DicPrizeDraw.class
[DEBUG] [00:01:32] org.apache.ibatis.io.DefaultVFS - Reader entry: DicPrizeRecord.class
